battery_capacity_mah_,price,Url,battery_indicator_LED,battery_indicator_Digital Display,battery_indicator_Other,min_quantity,max_quantity
200.0,3.4,https://www.alibaba.com/product-detail/TWS-Wireless-Earbuds-In-Ear-ANC_1601716472454.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,2.1,https://www.alibaba.com/product-detail/Newly-Designed-TWS-Wireless-5-4_1601716269924.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
451012.0,5.99,https://www.alibaba.com/product-detail/New-Arrival-OEM-ANC-TWS-A8_1601716052597.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,6.41,https://www.alibaba.com/product-detail/In-Ear-TWS-Wireless-Earbuds-with_1601715884082.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,6.41,https://www.alibaba.com/product-detail/In-Ear-TWS-Wireless-Earbuds-with_1601715797865.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,6.41,https://www.alibaba.com/product-detail/In-Ear-TWS-Wireless-Earbuds-with_1601715772482.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,2.98,https://www.alibaba.com/product-detail/2026-Hot-selling-TWS-In-Ear_1601715091019.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,12.48,https://www.alibaba.com/product-detail/USA-EU-Stock-TWS-air-Earbud_1601715059809.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,3.72,https://www.alibaba.com/product-detail/LED-Digital-Display-TWS-Earbuds-Wireless_1601715053522.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,2.55,https://www.alibaba.com/product-detail/TWS-K126-Wireless-Earbuds-Protective-Case_1601714961263.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,1.6,https://www.alibaba.com/product-detail/M30-Wireless-BT-Headset-TWS-Mini_1601714875277.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,3.6,https://www.alibaba.com/product-detail/G28-TWS-Earphone-Handsfree-Earbuds-Long_1601714406317.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,9.0,https://www.alibaba.com/product-detail/TWS-Earphone-Headphone-Mini-Compact-True_1601714388298.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
400.0,81.0,https://www.alibaba.com/product-detail/TWS-In-Ear-Gaming-Earbuds-for_1601713691440.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,2.5,https://www.alibaba.com/product-detail/TWS-Earphone-High-Quality-Touch-Control_1601713449754.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
200.0,21.5,https://www.alibaba.com/product-detail/TWS-Wireless-Earbuds-Noise-Cancelling-for_1601713243889.html?priceId=7fbe94727603496f935f2d28b85b7a5e,1,0,0,,
200.0,2.9,https://www.alibaba.com/product-detail/TWS-Wireless-Earphones-for-IPX-5_1601713129965.html?priceId=7fbe94727603496f935f2d28b85b7a5e,0,1,0,,
