product_id,battery_capacity_mah_,headphone_form_factor,waterproof_standard,brand_name,volume_control,battery_indicator,charging_interface_type,chipset,codecs,game_atmosphere_light,material,private_mold,product_name,sound_quality,charging_time,control_method,wireless_delay_time,battery_charging_time
10000031546165,30mah*2+500mAh,In ear,IPX-1,OEM,Yes,LED,Type-C,AB5656,AAC,,Plastic,Yes,,,,Touch Control,51-60 ms,1-3 hours
10000031230755,200mah,In ear,IPX-4,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000031217779,200mah,In ear,IPX-4,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000031213842,200mah,In ear,IPX-4,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000031208874,200mah,In ear,IPX-4,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000030355349,200mah,In ear,IPX-5,None,Yes,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000030349386,200mah,In ear,IPX-5,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000030336468,200mah,In ear,IPX-5,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000030313586,200mah,In ear,IPX-5,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000030308693,200mah,In ear,IPX-5,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000030307714,200mah,In ear,IPX-5,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000030306664,200mah,In ear,IPX-5,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000030271183,200mah,In ear,IPX-5,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000028801535,200-500mah,Ear-clip,No,Guanersheng,Yes,LED,Type-C,JL,Sbc,No Light,Plastic,Yes,TWS earphone,High Fidelity (Hi-Fi),1 Hour,Touch Control,less than 30 ms,1-3 hours
10000028318450,200mah,In ear,IPX-5,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000028315458,200mah,In ear,IPX-5,None,No,LED,Type-C,Jl,,,ABS,Yes,,,3-5 hours,Button Control,30 Ms,1-3 hours
10000027112132,200-500mah,In ear,IPX-4,casun,Yes,LED,Type-C,,,,,,noice cancelling headphones earbuds earphone,,,,,
10000025387672,400mAh,In ear,IPX-7,Teeline,Yes,Digital Display,,JL,,,ABS,Yes,,,1-2 hours,,30 Ms,1-3 hours
10000024869008,200mah,In ear,IPX-5,None,No,LED,,Jl,,,ABS,Yes,,,3-5 hours,,30 Ms,1-3 hours
10000024866040,200mah,In ear,IPX-5,None,No,LED,,Jl,,,ABS,Yes,,,3-5 hours,,30 Ms,1-3 hours
10000024864091,200mah,In ear,IPX-5,None,No,LED,,Jl,,,ABS,Yes,,,3-5 hours,,30 Ms,1-3 hours
1601712499060,200-500mah,In ear,IPX-4,,,Digital Display,Type-C,,,,Plastic,Yes,,High Fidelity (Hi-Fi),,,,1-3 hours
1601717658387,200-500mah,,IPX-5,zayson,,Digital Display,Type-C,JL,AAC,Single Color,Plastic,Yes,,Stereo,,Touch Control,less than 30ms,1-3 hours
